"Time","Total Calls","Total Calls [Min. Call Length]","Connected Calls","Calls Not Connected","Calls Not Connected (Length Limit Reached)","Calls Not Connected (Contact Hung Up)","Calls Not Connected (Caller Hangup Within 5 Seconds)","Calls Not Connected (Caller Hangup Within 10 Seconds)","Calls Not Connected (Caller Hangup Within 20 Seconds)","Availability (%)","TOTAL CALLS INCLUDING HANGUPS (M)","Avg Call Length (s)","Longest Wait Time (s)","Avg Wait Time (s)","Avg Answer Time (s)","Avg Wrap Up Time (s)","Max. Queue Length","Avg Talk Time (s)"
"2024-12-18 16:30","8","8","7","1","0","1","0","0","0","87.5","58.3","437","708","242.7","254.82","17.52","4","222.33"
"2024-12-18 17:00","10","10","10","0","0","0","0","0","0","100","33.6","201","123","49.45","49.45","18.31","3","151.99"
"2024-12-18 17:30","2","2","2","0","0","0","0","0","0","100","3.3","100","38","22.87","22.87","16.93","1","76.94"
"2024-12-18 18:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-12-19 08:00","232","232","64","168","164","4","1","1","1","27.59","804.3","208","957","177.05","626.11","18.73","20","112.26"
"2024-12-19 08:30","36","36","31","5","4","1","0","0","0","86.11","479.4","799","918","693.26","792.8","17.92","20","122.72"
"2024-12-19 09:00","33","33","27","6","0","6","1","3","4","81.82","255","464","578","353.2","426.46","19.44","11","134.86"
"2024-12-19 09:30","23","23","20","3","0","3","0","1","1","86.96","212.1","553","768","403.59","434.22","18.64","8","172.2"
"2024-12-19 10:00","21","21","20","1","0","1","0","0","0","95.24","155.9","445","629","284.58","283.55","16.47","7","168.71"
"2024-12-19 10:30","28","28","27","1","0","1","0","0","0","96.43","279","598","765","473.61","489.28","16.57","11","128.87"
"2024-12-19 11:00","15","15","13","2","0","2","0","0","0","86.67","96.7","387","654","202.72","223.51","18.89","8","212.19"
"2024-12-19 11:30","22","22","19","3","0","3","0","1","1","86.36","276.7","755","1120","629.24","704.18","18.78","10","145.07"
"2024-12-19 12:00","25","25","15","10","0","10","1","1","2","60","522.4","1254","4213","1089.27","1369.31","19.02","13","274.03"
"2024-12-19 12:30","13","13","6","7","0","7","0","1","1","46.15","446.7","2062","3930","1997.05","3116.34","17.68","12","140.13"
"2024-12-19 13:00","32","32","11","21","12","9","1","2","2","34.38","648.7","1216","3724","1111.81","2871.31","19.54","20","304.14"
"2024-12-19 13:30","32","32","15","17","12","5","0","0","2","46.88","712.3","1336","3128","1248.52","2628.34","18.57","20","185.57"
"2024-12-19 14:00","25","25","9","16","15","1","0","0","0","36","384.2","922","2720","852.56","2365.77","17.96","20","193.06"
"2024-12-19 14:30","16","16","14","2","0","2","0","1","1","87.5","406","1522","2095","1401.74","1599.99","18.05","20","137.86"
"2024-12-19 15:00","23","23","11","12","0","12","2","3","4","47.83","233.6","610","1414","537.46","978.15","19.5","14","150.46"
"2024-12-19 15:30","28","28","22","6","0","6","1","3","3","78.57","352.6","756","1209","613.91","750.58","18.19","12","180.38"
"2024-12-19 16:00","9","9","5","4","0","4","0","0","0","55.56","160.8","1072","1630","951.4","1354.92","20.02","11","216.62"
"2024-12-19 16:30","13","13","11","2","0","2","0","0","0","84.62","209.5","967","1305","793.25","835.33","18.84","9","205.09"
"2024-12-19 17:00","12","12","8","4","0","4","0","0","0","66.67","145.6","728","1065","612.33","692.3","20.02","9","173.27"
"2024-12-19 17:30","3","3","2","1","0","1","0","0","0","66.67","7.4","148","306","113.69","155.21","20.01","3","50.78"
"2024-12-19 18:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-12-20 08:00","154","154","71","83","80","3","0","0","0","46.1","757.1","295","1126","247.62","523.72","18.42","20","102.65"
"2024-12-20 08:30","25","25","23","2","0","2","1","2","2","92","267.1","641","1077","545.58","592.56","16.21","15","103.65"
"2024-12-20 09:00","18","18","17","1","0","1","0","0","0","94.44","163.4","545","586","357.64","363.15","15.81","8","197.86"
"2024-12-20 09:30","22","22","18","4","0","4","0","1","1","81.82","151.5","413","587","312.17","336.77","14.83","7","123.21"
"2024-12-20 10:00","30","30","15","15","0","15","0","1","4","50","396.2","792","1615","703.23","1182.33","15.31","11","178.38"
"2024-12-20 10:30","23","23","16","7","0","7","1","1","2","69.57","496.8","1296","2167","1180.06","1591.63","14.02","16","166.66"
"2024-12-20 11:00","24","24","12","12","0","12","4","6","7","50","480.1","1200","2518","1088.93","1832.17","18.97","19","222.36"
"2024-12-20 11:30","18","18","8","10","0","10","0","3","3","44.44","294.4","981","2136","910.54","1686.94","17.59","16","158.94"
"2024-12-20 12:00","34","34","19","15","4","11","3","5","6","55.88","318.9","563","1073","486.13","787.29","17.91","20","137.07"
"2024-12-20 12:30","22","22","19","3","0","3","0","0","0","86.36","183.9","502","1248","348.35","364.68","18.12","9","177.44"
"2024-12-20 13:00","19","19","15","4","0","4","0","0","0","78.95","377.4","1192","1475","971.53","1134.4","19.33","14","278.75"
"2024-12-20 13:30","14","14","9","5","0","5","0","1","1","64.29","233.7","1002","1285","868.58","1190.05","16.3","12","207.04"
"2024-12-20 14:00","18","18","14","4","0","4","0","0","0","77.78","182","607","795","426.36","498.71","15.92","6","231.69"
"2024-12-20 14:30","15","15","11","4","0","4","1","1","2","73.33","188.7","755","1093","547.48","705.94","18","8","282.43"
"2024-12-20 15:00","26","26","17","9","0","9","2","3","4","65.38","411.6","950","1461","809.85","1137.36","17.96","12","213.94"
"2024-12-20 15:30","18","18","11","7","0","7","1","2","2","61.11","256.5","855","1338","703.58","1025.27","16.94","11","247.56"
"2024-12-20 16:00","19","19","16","3","0","3","0","0","0","84.21","302.7","956","1240","808.07","873.87","17.18","11","175.36"
"2024-12-20 16:30","17","17","12","5","0","5","2","2","3","70.59","199.3","703","1084","597","747.92","12.87","10","150.75"
"2024-12-20 17:00","12","12","11","1","0","1","0","0","0","91.67","92.6","463","649","358.82","384.04","18.48","8","113.78"
"2024-12-20 17:30","4","4","4","0","0","0","0","0","0","100","9.6","143","62","20.09","20.09","20.01","1","123.22"
"2024-12-20 18:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","4127","4127","1873","2254","1779","472","83","151","199","45.38","39265.3","570.91","4213","489.95","1019.48","17.81","20","178.13"
